src,trg
"""Pickpocket"" löste eine Debatte über den Verlust des Stimmrechts für Kriminelle aus.","""Pickpocket"" started a debate about criminality disenfranchisement."
Oh! Guter Versuch.,Oh! Good going.
Sie sehen sie sich da unten in dieser Welt an.,They're actually looking at them down in that world.
"Aber wenn Sie am Strand stehen, möchte ich, dass Sie sich vorstellen, an der Grenze zu einer unbekannten Welt zu stehen.","But when you're standing at the beach, I want you to think that you're standing at the edge of a very unfamiliar world."
"sondern in jeder Sprache, mit der ich bis jetzt zu tun hatte.",It's in every language I've had experience with so far.
"Wir gingen in eine renommierte kleine Schule und da sagte man uns, Kinder werden 10 Mal pro Woche Mathe lernen und Wissenschaft acht Mal pro Woche und lesen fünf Mal pro Woche und so weiter.",We went to this prestigious little school and they say they're going to study math 10 times a week and science eight times a week and reading five times a day and all this stuff.
In der Wirtschaftstheorie ist Betrug nur eine einfache Kosten-Nutzen-Rechnung.,"Now, in economic theory, cheating is a very simple cost-benefit analysis."
"Und die letzte Untersuchung, die veröffentlicht wurde, zeigt einen Zusammenhang zwischen Spielen und der Grösse des Gehirns.","And a final really interesting study -- it's been shown, a correlation between play and brain size."
Dieses System ist kaputt.,It's a crap system.
Nicht nur das. Obendrein stellt sich die Lebensader – das Entwässerungssystem – ungefähr jedes Jahr einmal ab.,"Not only that, but on top -- the lifeblood -- that plumbing system turns off every year or so."
Hier ist der Erfolg im System inbegriffen.,This is where success is systemic.
Die Quellen geben Wärmestrahlung ab – eine Infrarot-Signatur. So finden sie auch auf recht große Entfernung diese Quellen.,The vents are emitting a black body radiation -- an IR signature -- and so they're able to find these vents at considerable distances.
"Ich hab die Nase voll davon, dass wir unser ganzes Potenzial nicht nutzen.","You know, I'm sick and tired of us not living up to our potential."
So gefällt ihnen das Leben.,That's how they like to live.
"Wir verbringen sehr viel Zeit in unserem Leben an der Arbeitsstelle, und die Arbeitsstelle soll was sein? Eine traurige Plackerei? Nach 20 Jahren werden Sie aufwachen und sagen, ""Ist das alles?","We spend so much of our lives at the workplace, and it's supposed to be, what, a miserable grind, so that 20 years from now, we wake up and say, ""Is this it?"
Selbstgefällige Systeme haben keine Ausreden mehr.,It has taken away excuses from those who are complacent.
"Wir erstellen Karten dieser Gebirgszüge mit Hilfe von Schall, Sonar, und das ist einer dieser Gebirgszüge.","We make maps of these mountain ranges with sound, with sonar, and this is one of those mountain ranges."
"Als Teil der Demonstration habe ich ein Paar Handschuhe. Einer der Handschuhe ist mit der Nanotechnologie behandelt. Vielleicht finden Sie ja heraus, welcher. Ich gebe Ihnen einen Tipp.","So as part of the demonstration, what I have is a pair of gloves, and we've coated one of the gloves with the nanotechnology coating, and let's see if you can tell which one, and I'll give you a hint."
Auf dem letzten Platz in Europa bezüglich BIP per Einwohner.,Last in Europe GDP per capita.
Und man könnte es für selbstreinigende Dinge verwenden.,And it could be things that need to be self-cleaning as well.
"BL: Das Weiße ist eine Bakterienart, die bei 180 Grad Celsius gedeiht.",BL: The white material is a type of bacteria that thrives at 180 degrees C.
Vielen Dank.,Thank you very much.
"Die Leistungen von Lehrern, die vielleicht Probleme haben, werden gezielt verbessert. Das Gehalt eines jeden Lehrers ist strukturiert.","They watch how they improve the performances of teachers in difficulties who are struggling, and how they structure teacher pay."
Wir blasen es auf und gucken uns die Teile an.,We blow it up and look at the pieces.
Zurück ins Jahr 2000.,Let's go back to the year 2000.
Nichtsdestotrotz sind die Tiere nach einem Jahr wieder da.,"Despite that, these animals grow back in about a year's time."
"Und es wurde viel unternommen, um Schülern mit Migrationshintergrund oder aus sozial schwachen Familien die gleichen Chancen zu geben.",A lot was done to increase the life chances of students with an immigrant background or from social disadvantage.
"Die Stärke liegt in der Mitteilung darüber, was andere Länder unternommen haben.",But its strength lies in telling them what everybody else has been doing.
"Dies sind die entscheidenden Fragen. Und von PISA haben wir gelernt, dass in guten Bildungssystemen die Bürger überzeugt wurden, Entscheidungen für ihre Bildung und Zukunft zu treffen und nicht kurzfristig zu denken.","Those are the critical questions, and what we have learned from PISA is that, in high-performing education systems, the leaders have convinced their citizens to make choices that value education, their future, more than consumption today."
Aber die Feuertaufe ist: Wie wichtig ist Bildung im Vergleich zu anderen Prioritäten?,"But the test of truth is, how do you weigh that priority against other priorities?"
"Finnland schnitt bei der PISA-Studie sehr gut ab. Aber das Beeindruckendste an Finnland ist, dass nur 5 % der Leistungsunterschiede zwischen Schülern auf verschiedene Schulen zurückzuführen sind.","You've seen Finland doing so well on PISA, but what makes Finland so impressive is that only five percent of the performance variation amongst students lies between schools."
"BL: Dieses Bakterium, über das wir gesprochen haben, ist die einfachste uns bekannte Lebensform.",BL: This bacteria that we've been talking about turns out to be the most simplest form of life found.
Wie beschreibt man die Arbeit in Bulgarien?,What are qualities of a Bulgarian work?
Wir mussten in einer speziellen Steigung fliegen um die Messungen durchzuführen.,We have to fly at a special incline in order to make the measurements.
Ohne Wasser können Bakterien nicht überleben.,"Without water, the bacteria won't survive."
Ich würde heute gerne ein wenig über vorhersehbare Irrationalität sprechen.,I want to talk to you today a little bit about predictable irrationality.
"Wir haben die meisten Angestellten, wir produzieren die meisten Gebühren.",We hire the most people; we create the most taxes.
"Allgemein eignet sich die Anwendung für alles, das nicht nass werden soll.",The applications in a general sense could be anything that's anti-wetting.
"Ressourcen gelangen dorthin, wo sie die größte Wirkung haben.",They invest resources where they can make the most difference.
"Geert Chatrou: Danke, vielen herzlichen Dank.",Geert Chatrou: Thank you. Thank you.
Und die Qualität des Schulsystems ist nirgendwo besser als die Qualität der Lehrer.,And nowhere does the quality of an education system exceed the quality of its teachers.
"Ich kann nicht sagen wie viele Male ich beschimpft geworden bin, weil ich meine Kinder auf dem Boden spielen lasse.",I can't tell you how many times I've been scolded in the park for letting my kids play on the ground.
"Ich möchte Ihnen zeigen, wie etwas Unsichtbares so schön anzuschauen sein kann.",I'm here to show you how something you can't see can be so much fun to look at.
Sei ernst.,Be serious.
Und ich hab auch am Heiligen Abend bei der Familie meiner Frau gepfiffen.,And I also whistled at a Christmas Eve party with my family-in-law.
"Wir entwickeln uns mehr emotionale Reife, falls wir mehr spielen.",We develop more emotional maturity if we play more.
"Und wenn die Kunden für Dienstleistungen anrufen und mit glücklichen Angestellten sprechen, die Entscheidungen treffen können und die Erfüllung haben, wie werden sich die Kunden fühlen? Sie werden sich glücklich fühlen.","And when customers call for service and they're dealing with happy people that can make decisions and are fulfilled, how do the customers feel? They feel great."
"Sicherlich waren sie wundervolle Menschen mit guten Absichten und großer Erfahrung, aber trotzdem haben sie ständig und vorhersehbar die selben Fehler wiederholt.","Here were wonderful people with good intentions and plenty of experience, and nevertheless they were getting things wrong predictably all the time."
"Wir benutzen das Unterseeboot Alvin und Kameras, und diese Kameras hat Bill Lange mit Hilfe von Sony entwickelt.","We use the submarine Alvin and we use cameras, and the cameras are something that Bill Lange has developed with the help of Sony."
Lassen Sie sie im Internet surfen.,Let them be on the Internet.
"Je mehr Sie spielen, desto grösser ist Ihr Gehirn.","The more you play, the bigger the brains there are."
"Wenn er dieses Raster im eigenen Gehirn sieht, kann er lernen, es zu steuern.","If he can see this pattern in his own brain, he can learn how to control it."
"Also: ""Rudolph the Red-nosed Reindeer"" – kennen Sie das?","So ""Rudolph the Red-Nosed Reindeer"" -- you know it?"
Gute Schulsysteme wählen ihre Lehrer sehr sorgsam aus und bilden sie gezielt weiter.,High-performing systems are very careful in how they recruit and select their teachers and how they train them.
Noch seine Wirtschaft. Noch hat sich die Zusammensetzung der Bevölkerung geändert.,It didn't change its economy. It didn't change the compositions of its population.
Die Welt endete nicht in den 90ern.,And the world didn't stop in the 1990s.
"Wir müssen uns schon einer sehr speziellen Technik bedienen, um in diese unbekannte Welt vorzudringen.",We have to have a very special technology to get into that unfamiliar world.
Dann konnte ich ein paar Jahre nicht teilnehmen.,Then I couldn't participate for a few years.
"Sie haben zuvor sicherlich bereits gesehen, dass man mit Elektroden Roboterarme steuern kann; dass Gehirnabbildungen und -abtaster das Innere des Gehirns darstellen können.","Now you've seen before that with electrodes you can control robotic arms, that brain imaging and scanners can show you the insides of brains."
Haben Sie den trockenen entdeckt?,Did you guess the one that was dry?
"und wenn man lange Zeit im Krankenhaus ist, begegnet man vielen Arten von Irrationalität.","And if you spend a lot of time in hospital, you'll see a lot of types of irrationalities."
"""Persepolis"" brachte eine Tochter näher zu ihrer iranischen Mutter und ""Der weiße Hai"" half einem kleinen Jungen, die Angst zu artikulieren, die er erlebt hatte, auf der Flucht vor Gewalt, die zuerst seinen Vater tötete und dann seine Mutter, letztere wurde auf einer Bootsreise über Bord geworfen.","""Persepolis"" brought a daughter closer to her Iranian mother, and ""Jaws"" became the way in which one young boy was able to articulate the fear he'd experienced in flight from violence that killed first his father then his mother, the latter thrown overboard on a boat journey."
"Und stattdessen, worauf legen wir Wert?","And instead, what do we value?"
In guten Schulsystemen sind Lehrer und Rektoren erfinderisch geworden.,High-performing systems have made teachers and school principals inventive.
Es hat regelrecht Angst.,It's that afraid of the water.
"Ich habe in meinen Verstand gesehen. Sie werden es auch, schon bald.","I've seen inside my brain. You will too, soon."
"Nun, Sie werden auch mitpfeifen.","Well actually, you are going to whistle along."
Und auf Teilen des Feldzuges hatten wir sogar ein Flugzeug dabei.,And on part of that field campaign we even brought an aircraft with us.
"Das Problem ist, dass eine Angabe über die Dauer der Schulzeit oder über den Abschluss nicht immer darlegt, was diese Menschen tatsächlich leisten können.",The trouble is that measuring how much time people spend in school or what degree they have got is not always a good way of seeing what they can actually do.
"Das Stück, das ich pfeife, heißt ""Fête de la Belle.""","The track that I will whistle is called ""Fête de la Belle."""
"Wenn du deine Angestellte wie Menschen behandelst, großartig behandelst, dann sind sie glücklicher, sie haben Erfüllung, sie haben ein Gefühl von Meistersein und Zweck.","If you treat your people like people, if you treat them great, they're happier, they're fulfilled, they have a sense of mastery and purpose."
Es hat diese Fischköder an der Unterseite. Die bewegen sich auf und ab.,It's got these fishing lures on the bottom. They're going up and down.
David Gallo: Das ist Bill Lange. Ich bin Dave Gallo.,David Gallo: This is Bill Lange. I'm Dave Gallo.
"Ganz im Ernst, wir sollen uns zusammenschließen.","Seriously, we need to band together."
gelb bedeutet mittelmäßig und die Länder in grün sind am stärksten.,"Yellow is so-so, and in green are the countries doing really well."
"Nun, entwickelt in den Versuchslaboren, hat unsere Generation genau jetzt die Möglichkeit, dies zu tun.","Well, coming out of the research labs just now, for our generation, is the possibility to do that."
In der Schulbildung sind wir von einer kompromisslosen Offenheit noch weit entfernt.,Radical openness is still a distant future in the field of school education.
"Aber was Sie tun sollen, ist das Feuer der Revolution entfachen.",But what you need to do is fan the flames of the revolution.
"Und irgendwann – ich hatte zugegebenermaßen schon ein bisschen Wein getrunken – da sagte ich: ""Wenn es einen Wettbewerb gäbe, würde ich daran teilnehmen.""","And at one point -- and I had some wine, I have to admit that -- at one point I said, ""If there was a contest, I would join."""
Und schließlich kommen wir auf so etwas wie das hier.,"And eventually, we can come up with something like this."
"Unser Interesse galt nicht dem Wiedergeben von Erlerntem seitens der Schüler. Wir wollten wissen, ob sie das Erlernte abstrahieren und ihr Wissen auf neue Situationen anwenden können.","We were less interested in whether students can simply reproduce what they have learned in school, but we wanted to test whether they can extrapolate from what they know and apply their knowledge in novel situations."
"Als wäre ein Regenschirm aus Luft darüber, auf den das Wasser, der Schlamm, der Beton trifft, und sie rutschen davon ab.","It's an umbrella of air all across it, and that layer of air is what the water hits, the mud hits, the concrete hits, and it glides right off."
Was wir brauchen ist einen Aufstand der Spielern.,What we need is a players' uprising.
Die Höhe dieser Berge auf beiden Seiten des Tals ist größer als die der Alpen in den meisten Fällen.,The height of these mountains on either side of this valley is greater than the Alps in most cases.
Und zunächst möchte ich mit Ihnen Ihr Pfeifen üben.,And I want to first rehearse with you your whistling.
Sie können die hunderte von Muskeln in Ihrem Arm programmieren.,You can program the hundreds of muscles in your arm.
"Also fragten wir uns, wenn die Leute offenbar der rationalen Entscheidungstheorie und ihren Kräften nicht unterliegen, was geht hier dann vor sich?","So we said, ""If people are not sensitive to the economic rational theory explanations, to these forces, what could be going on?"""
"Durch die Auswahl von ""Hotel Ruanda"" erforschten sie Völkermord der brutalsten Art.","In choosing ""Hotel Rwanda,"" they explored genocide of the most brutal kind."
Hier ist man näher an dieser Gemeinschaft dran.,Now here's a closer view of that community.
"Eine Flut von Fragen entströmte den Mündern der Kinder, die die Welt bisher für uninteressiert gehalten hatte.",A tsunami of questions flew out of the mouths of children who the world didn't think were interested.
"Zum Beispiel, es ist bekannt, dass Spielen das Nervenwachstum in der Amygdala stimuliert, in dem Teil, wo Emotionen kontrolliert werden.","For example, it's been shown to stimulate neural growth in the amygdala, in the area where it controls emotions."
Das ist ein Gen der Gesellschaft.,It's a social gene running through us.
Man nahm die Herausforderung an und heute erzielen zweimal so viele Schüler Bestergebnisse beim Lesen – innerhalb eines Jahrzehnts.,"They took up the challenge, and Korea was able to double the proportion of students achieving excellence in one decade in the field of reading."
Wie werden Schulen und Lehrer in den Medien dargestellt?,How do the media talk about schools and teachers?
"Wenn wir die Leistung der Länder diesbezüglich betrachten, sehen wir viele Länder, die hervorragende Leistungen mit Gleichheit verbinden.","But actually, if you look at how countries come out on this picture, you see there are a lot of countries that actually are combining excellence with equity."
"Inzwischen haben wir herausgefunden, dass sie wahrscheinlich aus dem Erdinneren gekommen sind.",What we find out now is that it's probably coming from inside the Earth.
"Der rote Punkt ist der Laserstrahl des U-Bootes Alvin, der uns zeigt, wie weit wir etwa von den Quellen entfernt sind.",The red dot is the laser light of the submarine Alvin to give us an idea about how far away we are from the vents.
"Eine grundlegende Überholung des Schulsystems hat in Polen zu einer Anpassung der Qualitäten zwischen den Schulen geführt, viele der am schlechtesten abgeschnittenen Schulen verbessert und und die Leistungen pro Schuljahr um über 50 % angehoben.","A major overhaul of Poland's education helped to dramatically reduce between variability among schools, turn around many of the lowest-performing schools, and raise performance by over half a school year."
"Was ist mit der Wahrscheinlichkeit, erwischt zu werden?",What about the probability of being caught?
"Schritt eins: Eine Frau sagt, ""Ich will ein Baby. Ich will ein Baby""","Step one: woman says, ""I want to have a baby. Iskam baby."""
"Ich habe versucht mit den Schwestern zu reden, ich fragte sie: ""Warum versuchen wir nicht mal was anderes?","And I would try to reason with them and say, ""Why don't we try something else?"
Hier ist das X-Wing-Todes-Weichtier.,Here's the X-wing death jelly.
Und wenn man in die Böschungen dieser Täler kommt können die G-Kräfte bis zu 2G betragen.,"And as you come around the banks in these valleys, the forces can get up to two Gs."
Sie pfeifen bitte den gleichen Ton wie ich.,You whistle the same tone as me.
Seien wir jetzt optimistisch. Wir werden optimistisch sein. Wie geschah das?,Let's be positive now. We're going to get positive. How did this happen?
Heute hat jeder junge Mensch in Korea Abitur.,"Today, every young Korean finishes high school."
"Unser Gesundheitssystem ist auf dem letzten Platz, und das ist wichtig für das Wohlbefinden.","We're last place in health care, and that's important for a sense of well-being."
"Alle, die das sehen, sind begeistert und sagen: ""Oh, ich könnte es für dies und das einsetzen.""","Everyone that sees this gets excited, and says, ""Oh, I could use it for this and this and this."""
"Und darum sind wir auf dem letzten Platz, weil wir Spielen nicht schätzen.","And that's why we're last, because we don't value play."
"Und ich versuche, meinen Traum zu leben – nun ja, eigentlich war es nie ein Traum, aber es klingt einfach zu gut.","And I try to live my dream -- well, actually, it was never my dream, but it sounds so good."
Ich hatte den Film zum 50. Geburtstag meines Vaters gesehen.,I had seen the film on the occasion of my father's 50th birthday.
"Aber wo in unserer immer zunehmend säkularisierten und zerstückelten Welt bieten wir eine Gemeinschaftlichkeit der Erfahrung, die unbeeinflusst von unserem wilden Konsumdenken ist?","But where, in our increasingly secular and fragmented world, do we offer communality of experience, unmediated by our own furious consumerism?"
Was wir brauchen ist einen Aufstand der Spielern.,What we need is a players' uprising.
Also haben Sie vielleicht ein ähnliches Flugzeug benutzt um heute herzukommen.,So maybe you took a similar aircraft to get here today.
"Auf dem letzten Platz in Lesen, Mathe und Wissenschaft, letzten.","Last in reading, math and science. Last."
"In Gruppen so groß wie 150 und so klein wie drei entdeckten diese jungen Menschen neue Orte, neue Gedanken, neue Perspektiven.","In groups as large as 150 and as small as three, these young people discovered new places, new thoughts, new perspectives."
"Aber was Sie vielleicht nicht wussten, ist dass Bären, die mehr gespielt haben, länger leben.",But what you may not know is that bears that play more survive longer.
"Falls jemand von Ihnen sich nicht erinnern kann, was Spielen ist, das ist Spielen.","In case some of you forgot what play is, this is what play looks like."
Was wird geschehen?,So what happens?
"Und diese Garnelen versuchen, die Bakterien von den Rücken all dieser Tiere abzuernten.",And what these shrimp are trying to do is actually harvest the bacteria from the backs of these animals.
Erstens - Spielen ist universal.,"One, play is universal."
Wie Sie sich also vorstellen können sieht das Innere dieses Flugzeugs nicht wie jedes andere aus mit welchem Sie in den Urlaub fliegen würden.,"So, as you can imagine, the inside of this aircraft doesn't look like any plane you would take on vacation."
So was mag ich.,I love that kind of stuff.
"DG: Ich sagte schon, dass diese Umgebung aus menschlicher Sicht toxisch wie die Hölle ist.","DG: I already said that this site, from a human perspective, is toxic as hell."
Und natürlich: Kann ein Erfolgsrezept auf alle angewandt werden?,"And, of course, the question is, can what works in one context provide a model elsewhere?"
"In guten Schulsystemem kommt es nicht mehr auf professionelle oder administrative Verantwortung und Kontrolle an, professionelle Art der Arbeitsorganisation.",High performers have moved on from professional or from administrative forms of accountability and control -- to professional forms of work organization.
"Wir tun uns schwer genug damit, Lernen als Aktivität und nicht als Ort zu erkennen.",We have such a hard time figuring out that learning is not a place but an activity.
Wir haben uns vermutlich von dort aus entwickelt.,That's probably where we evolved from.
"Sie benutzen die Biolumineszenz, um Geschlechtspartner anzulocken, Beute zu ködern und zur Verständigung.",The bioluminescence -- they use the lights for attracting mates and attracting prey and communicating.
Welche Zukunft können unsere Kinder aufbauen mit so wenig Verständnis woher sie kommen und so wenigen Geschichten über das was möglich ist?,What future could the young build with so little grasp of where they've come from and so few narratives of what's possible?
"Und hier sieht man eine Wolke von dichtem hydrogensulfidreichem Wasser, das aus einer vulkanischen Längsachse am Meeresboden tritt.","And what you're seeing here is a cloud of densely packed, hydrogen-sulfide-rich water coming out of a volcanic axis on the sea floor."
"Beim nächsten Land, Luxemburg, ist der rote Punkt an derselben Stelle wie bei Korea, was bedeutet, dass Luxemburg die gleichen Ausgaben pro Schüler hat wie Korea.","You go to the next country on the list, Luxembourg, and you can see the red dot is exactly where it is for Korea, so Luxembourg spends the same per student as Korea does."
Und das funktioniert nicht nur mit Wasser.,And it's not just water that this works with.
"Und dann bekam ich, wie jedes gute akademische Projekt, mehr Geld zugesprochen.","And then, like all good academic projects, I got more funding."
"Alles tolle Sachen, die man mit mir hätte machen können, aber meine Pfleger hatten keine Ahnung.","All of these would have been great things to do, and my nurses had no idea."
Gerade kürzlich war ich auf einem Feldzug in Malaysien. Und es gibt noch andere.,I recently joined a field campaign in Malaysia. There are others.
"Am Ende dieses Prozesses hat sich dann herausgestellt, daß die Krankenschwestern unrecht hatten.","But at the end of this process, what I learned was that the nurses were wrong."
Wir werden in der Lage sein in die Anatomie von Peters Gehirn zu fliegen -- buchstäblich in seinen Körper zu fliegen -- doch viel wichtiger: Wir können in seinen Verstand sehen.,"We will be able to fly into the anatomy of Peter's brain -- literally, fly into his body -- but more importantly, we can look into his mind."
Es ist eine unglaubliche Geschichte.,It's an incredible story.
"Ich hatte damals schwere Verbrennungen,",I was burned very badly.
"Der Film, der mein Leben verändert hat, ist ein Film aus dem Jahr 1951 von Vittorio De Sica, ""Das Wunder von Mailand"".","The film that changed my life is a 1951 film by Vittorio De Sica, ""Miracle in Milan."""
"Das ist auch etwas, das Bill macht, Wissenschaftler mit den ersten Bildern von diesen Tieren zu versorgen, in ihrer natürlichen Umgebung.","And that's one of the things that Bill's been doing, is providing scientists with this first view of animals like this, in the world where they belong."
"Und diese Zusammenfassung teilen wir mit Journalisten und politischen Entscheidungsträgern, um Schlagzeilen wie diese zu machen.","And we hand that summary to journalists and policy makers, in order to make headlines like these."
"Wir nehmen einen Joystick, sitzen vor unserem Computer an Land, drücken den Joystick nach vorn und fliegen um den Planeten.","We're going to take a joystick, sit in front of our computer, on the Earth, and press the joystick forward, and fly around the planet."
Sie sind beide Arten des selben Felds von atmosphärischen Wissenschaften.,They are both two branches of the same field of atmospheric science.
"Es ist eine große Gemeinschaft. Es ist tatsächlich so eine große Gemeinschaft, dass unser jährliches Treffen das größte [physische] wissenschaftliche Treffen in der Welt ist.","It's a big community. It's such a big community, in fact, that our annual gathering is the largest scientific meeting in the world."
Lange haben wir uns gefragt: Wie sind die alle da unten hingekommen?,"And we started to wonder for a long time, how did it all get down there?"
"Mich interessierte nämlich noch immer die Frage, wie man Verbrennungspatienten am besten die Verbände abnimmt.",I was still interested in this question of how do you take bandages off burn patients.
Manche haben nur ihr halbes Arbeitsblatt zerrissen es waren also noch Beweise übrig.,"Some people shredded half the sheet of paper, so there was some evidence left."
"Aber selbst Luxemburg kann das Geld nur einmal ausgeben und der Preis dafür ist, dass Lehrer nicht besonders gut bezahlt sind.","But even Luxembourg can spend its money only once, and the price for this is that teachers are not paid particularly well."
Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen.,And we're going to tell you some stories from the sea here in video.
"2,5 bis 3 oder 5 Kilometer unter der Oberfläche – kein Sonnenstrahl ist jemals bis hierher vorgedrungen.",A mile and a half from the surface to two miles to three miles -- no sun has ever gotten down here.
"Es ist unglaublich. Es ist im Grunde Schwefelsäure, die da in unglaublichen Mengen freigesetzt wird.","It's unbelievable. It's basically sulfuric acid, and it's being just dumped out, at incredible rates."
Diese Säulen sind mehrere Stockwerke hoch.,Those pillars get up to several stories.
"Man sieht heißes Wasser hier, hier, hier und hier austreten.","You see the hot water over here, here and here, coming out."
"Wir ahnten, dass Film, dessen Geschichten ein Ort der Begegnung von Theater, Musik, Literatur und menschlicher Erfahrung sind, junge Teilnehmer am FILMCLUB engagieren und inspirieren würde.","We guessed that film, whose stories are a meeting place of drama, music, literature and human experience, would engage and inspire the young people participating in FILMCLUB."
"Jetzt kommt das Solo - ich würde sagen, das mache ich allein.",Now comes the solo. I propose I do that myself.
"Die ganze Energie, die diese Lebewesen antreibt, kommt aus dem Erdinneren – Chemosynthese also.","All the energy to support these life forms is coming from inside the Earth -- so, chemosynthesis."
Und ich konnte einfach nicht.,And I just couldn't.
"Würden Sie wollen, dass Ihr Kind lieber Lehrer oder Anwalt wird?",Would you want your child to become a teacher rather than a lawyer?
Letzten.,Last.
Länder mit guten PISA-Ergebnissen nehmen die Unterschiede über differenzierte pädagogische Vorangehensweisen an.,High performers on PISA embrace diversity with differentiated pedagogical practices.
"In den ersten neun Monaten betrieben wir 25 Vereine in Großbritannien, in denen Kinder zwischen 5 und 18 für 90 Minuten ununterbrochen einen Film schauen.","In the first nine months we ran 25 clubs across the U.K., with kids in age groups between five and 18 watching a film uninterrupted for 90 minutes."
Polen hat bekanntlich nicht seine Kultur geändert.,"You know, Poland hasn't changed its culture."
"Auf beiden Seiten liegen Gebirgszüge, die höher als die Alpen sind, diese Gegend hier ist also sehr dramatisch.","On either side of us are mountain ranges that are higher than the Alps, so the setting here is very dramatic."
"Da spielt sich eine ganz komplexe Geschichte ab, die wir gerade erst zu verstehen beginnen, dank der neuen Kameratechnologie.",There's a whole story being played out here that we're just now beginning to have some idea of because of this new camera technology.
"Nun, ich pfeife eigentlich seit ich vier bin - so ungefähr seitdem.","Well actually, I've [been] whistling since the age of four, about four."
Und dies ist der Turm von unten.,And this is the tower from below.
Wir sind chronische Geschichtenerzähler.,We are inveterate storytellers.
"Sechzig Jahre nach der Produktion des Films und 30 Jahre, nachdem ich ihn zum ersten Mal sah, sehe ich junge Gesichter, die sich in Ehrfurcht neigen. Ihre Ungläubigkeit entspricht meiner.","Sixty years after the film was made and 30 years after I first saw it, I see young faces tilt up in awe, their incredulity matching mine."
In diesem Fall bewegen wir uns durch die Ozeanmitte nach unten und sehen solche Kreaturen.,"In this case, we're passing down through the mid-ocean and we see creatures like this."
"Es ist genetisches Geburtsrecht, das uns gehört, genauso wie Laufen oder Sprechen oder Sehen.","It is a genetic birthright that we have, like walking or speaking or seeing."
Jetzt stellen Sie sich ihren Arbeitsplatz vor.,Now imagine your workplace.
