src,trg
"Ein Mann steht vor einem kleinen roten Objekt, das wie ein Flugzeug aussieht.",A man is standing in front of a small red object that looks like a plane.
Ein Hund spielt mit einem Schlauch.,A dog is playing with a hose.
Ein Mann und ein kleines Mädchen posieren glücklich vor ihrem Einkaufswagen im Supermarkt.,A man and a little girl happily posing in front of their cart in a supermarket.
"Ein weißer Hund ist kurz davor, ein gelbes Hundespielzeug zu fangen.",A white dog is about to catch a yellow dog toy.
"Ein Kerl in einem grünen Hemd, dessen Hand einen Teil seines Gesichts bedeckt, in einer Nische im Restaurant.",Guy in green shirt with hand covering part of his face in restaurant booth.
Ein schwarz-weißer Hund spring zu einem gelben Spielzeug hoch.,A black and white dog jumps up towards a yellow toy.
Zwei Wanderer machen bei einem Stückchen Schnee Pause.,Two hikers resting by a patch of snow.
Ein Mann führt seine neue hölzerne Kreation vor.,A man showing off his new wooden creation.
Ein älterer Vater und sein erwachsener Sohn bereiten sich auf einen Camping-Ausflug in der Wildnis vor.,A elderly father and his grown son are preparing for a camping trip in the wild.
"Ein Reisender mit Bart in einem roten Hemd, der in einem Auto sitzt und eine Karte liest.",A bearded traveler in a red shirt sitting in a car and reading a map.
"Ein Junge winkt einer Ente im Wasser zu, umgeben von einer Grünanlage.",A young boy waves his hand at the duck in the water surrounded by a green park.
Ein Paar sitzt mit Baby und Sportwagen im Gras.,A couple sit on the grass with a baby and stroller.
Ein paar Männer stehen vor einem Gebäude neben einem parkenden Auto.,Some men standing in front of a building next to a parked car.
Der schwarze Hund rennt durch das Wasser.,The black dog runs through the water.
Ein Mann bohrt durch das gefrorene Eis eines Teichs.,A man is drilling through the frozen ice of a pond.
Zwei große lohfarbene Hunde spielen an einem sandigen Strand.,Two large tan dogs play along a sandy beach.
"Eine Person in blau und rot, die mit zwei Pickeln eisklettert.",A person in blue and red ice climbing with two picks.
"Drei Personen, die auf einem Pfad in einer Wiese gehen.",Three people walking on a path in a meadow.
Ein Mann in Schwarz schaufelt Schnee auf die Straße und ignoriert dabei die öffentliche Sicherheit.,"A man in black attire shovels snow into the street, disregarding all public safety."
Ein Paar steht hinter seiner Hochzeitstorte.,A couple stands behind their wedding cake.
Ein nasser schwarzer Hund trägt ein grünes Spielzeug durch das Gras.,A wet black dog is carrying a green toy through the grass.
Dorfbewohner verkaufen ihre Ernte auf dem Markt.,Villagers selling their crops at the market.
"In einem vollen Konzert nähert sich ein Mann dem Hauptsänger, der ein gelbes Hemd trägt.",In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.
"Ein Junge springt auf seinem Skateboard, und eine Menschenmenge sieht zu.",A boy jumps on his skateboard while a crowd watches
Ein Mann und ein Baby befinden sich in einem gelben Kajak auf dem Wasser.,A man and a baby are in a yellow kayak on water.
"Zwei Personen sitzen auf einer Bank, und eine Frau steht neben ihnen.","Two people are sitting on a bench, and one women is standing by them."
Eine Baustelle auf einer Straße mit drei arbeitenden Männern.,A construction site on a street with three men working.
"Zwei Männer sitzen auf einer Bank und reden, im Hintergrund eine Reklamefläche mit Werbung für Brillen.","Two men sitting on a bench talking, with a billboard advertisement for glasses in the background."
"Eine Gruppe Jugendlicher geht die Straße entlang und schwenkt Fahnen, die das Farbspektrum zeigen.",A group of youths march down the street waving flags showing the color spectrum.
"Drei alte Männer sehen einem anderen Mann zu, wie er Fisch zubereitet.",Three old men are watching another man prepare fish.
"Eine Frau einem einem weißen Pullunder mit einem grünen, wallenden Rock ein Lied singend auf der Bühne.","A woman in a white tank top with a green flowing skirt, on stage singing a song."
"Zwei Männer und zwei Frauen, die auf Treppenstufen im Freien sitzen.",Two men and two women sitting on steps outdoors.
"Ein brauner und ein schwarzer Labrador im Freien, wobei der schwarze Labrador ein Spielzeug in seinem Maul hat.",A brown and black lab are outside and the black lab is catching a toy in its mouth.
Junger männlicher Hockey-Goalie in roter Jacke duckt sich mit Stock beim Tor.,"Hockey goalie boy in red jacket crouches by goal, with stick."
Der Mann mit dem Rucksack sitzt im Hof eines Gebäudes vor einer Skulptur und liest.,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.
"Männliches Kleinkind in einem roten Hut, das sich an einem Geländer festhält.",Toddler boy in a red hat holding on to some railings.
Drei Hunde stehen auf einer Wiese und eine Person kniet in der Nähe.,Three dogs stand in a grassy field while a person kneels nearby.
Ein Mann steht vor einem Hochhaus.,A man is standing in front of a skyscraper
Eine Frau fährt ihr Baby in einem Sportwagen im örtlichen Park spazieren.,A woman is walking her baby with a stroller at the local park.
"Ein Mann in einem roten Hemd sitzt neben Obst, das zu verkaufen ist.",A man in a red shirt is sitting by fruit for sale.
Ein blondhaariger Junge und ein dunkelhaariges Mädchen essen an einem Kindertisch.,A young blond-haired boy and a dark-haired girl are eating at a kid's table.
Der Junge isst sein Essen draußen am Tisch.,The boy eats his food outside at the table.
Ein Mann in Schwarz spielt auf einem Konzert eine Elektrogitarre.,A man wearing black is playing an electric guitar at a concert.
"Ein Mädchen, das Softball spielt, schlägt den Ball fast senkrecht nach unten.",A girl playing softball hits the ball almost directly downwards
Ein Mann in einem schwarzen Hemd spielt eine schwarze Gitarre.,A man in a black shirt plays a black-colored guitar.
"Ein Mann, der ein schwarzes Hemd trägt und in einer städtischen Umgebung Beton glättet.",A man wearing a black shirt smoothing out concrete in an urban area.
Eine Frau in einem weißen Rock sitzt an einem Tisch in einem hübschen Restaurant.,A woman in a white shirt is sitting at a table in a nice restaurant.
Eine Frau liegt auf einer roten Decke in einem Park.,A woman is laying on a red blanket in a park.
Ein einzelner Mann steht abends auf einer Brücke.,A solitary man stand on a bridge in the evening.
Ein Kind geht durch eine Wiese.,A child walks in a grassy field.
Ein Mann und sein Hund grillen grüne Bohnen auf einem Grill.,A man and his dog are grilling green beans on a grill.
Drei Personen machen auf einem Felsvorsprung über den Bergen Rast.,Three people rest on a ledge above the moutains.
Viele Menschen überqueren eine sehr hohe Fußbrücke mit einem baumbewachsenen Hügel im Hintergrund.,Many people cross a very tall footbridge with a tree-covered hill in the background.
Ein Junge blickt auf eine Ansammlung von Schlauchbooten.,A young boy overlooking a crowd of inflatable boats.
Zwei kleine Mädchen und ein alter Mann unterhalten sich.,Two little girls and an old man have a conversation.
"Ein asiatischer Mann und eine blonde Frau, die Händchen halten, im Freien, ein Mann im Hintergrund sieht zu.","Asian man and blond woman holding hands outdoors, man in background watches."
"Ein älterer Mann mit grauem Haar, der in einem Stuhl sitzt und ein großes Instrument aus Bambus spielt.",An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.
Ein Mann in einem weißen Hemd fährt auf einer belebten Straße Fahrrad.,A man in a white shirt rides a bicycle on a busy street.
Ein Mann steht auf einer Leiter und malt Ziegel.,A man is standing on a ladder painting bricks
Ein Mann in den Dreißigern spielt in einer U-Bahn mit seinem Telefon.,A 30 somethings man playing with his phone on a subway train.
Zwei Frauen gehen über einen Fußgängerübergang mit einem Bus im Hintergrund.,Two women are walking in a crosswalk with a bus in the background.
Eine Gruppe von Leuten isst Nudeln.,A group of people are eating noddles.
Eine Frau in der Nähe des Meeres trägt eine Schale voller Obst auf ihrer Hand.,A woman is carrying a bowl full of fruit on her head near the ocean side.
"Ein Typ, der blau trägt, in einem Loch.",A guy wearing blue in a hole.
"Vier Kinder lächeln, während sie zusammen mit einem Fahrrad posieren, das viel zu groß für sie ist.",Four children are smiling as they pose together with a bicycle that is much too big for them.
"Zwei Personen, eine männlich und eine weiblich, stehen in einem Waldgebiet um eine Wanne herum.","Two individuals, a male and a female, standing in a forested area around a tub."
Ein schlafenden Baby liegt jemandem im Arm und trägt ein Outfit mit rosafarbenen Streifen.,A sleeping baby is in someone's arms and wearing a pink striped outfit
Ein Mitglied eines afrikanischen Stamms in Stammeskleidung blickt konzentriert in die Kamera.,A member of an African tribe is watching the camera intently in tribal dress.
Ein Samurai-Krieger ganz in Schwarz auf einer Übungsmatte im Freien nimmt sein Schwert aus der Scheide.,A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.
Mehrere junge Leute sitzen auf einem Geländer über einem überfüllten Strand.,Several young people sitting on a rail above a crowded beach.
"Fünf Wanderer, von denen einer in Richtung Kamera blickt und die anderen von der Kamera weg, gehen durch ein steiniges Flussbett.","Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed."
Ein Wachmann steht neben einer beleuchteten Metallskulptur.,"A security guard stands by a metal, lighted sculpture."
"Zwei Frauen, eine in Grün und die andere in Violett, die einen Gehsteig abwaschen.","Two women, one in green and the other in purple, washing a sidewalk."
Zwei Mädchen ducken sich vor ein paar Büschen und sprechen in ihre Telefone.,Two girls crouch in front of some bushes and talk on their phones.
"Ein junges Mädchen, das mehrfarbig gekleidet ist, einen orangefarbenen Ball in der rechten Hand trägt und hinter einem Haus durch leuchtend grünes Gras geht.",A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house
Ein kleines Kind liegt auf dem Boden und spielt mit einem Spielzeug.,A young child playing with a toy while laying on the floor.
"Ein kleiner Junge führt ein Kunststück auf seinem Skateboard aus, während ein anderer junger Skateboarder zusieht.",A little boy skateboarder is doing a trick on his board while another young skateboarder watches.
Zwei Kinder im Gras lachen.,Two kids are laughing in the grass.
"Eine junge Frau, die eine Flasche hält, streckt von einer Bank aus ihre Hand aus, um einem Mann die Hand zu schütteln.","Young woman holding a bottle, reaching out from a bench to shake a man's hand."
Ein Fahrer kommuniziert mit seinem Walkie-Talkie.,A driver communicating on his walkie talkie.
"Ein Mädchen, das einen großen Fluss hinunterpaddelt, von hinten gesehen.","A girl paddling down a large river, as seen from behind her."
Ein Mädchen mit Zöpfen spielt im Wasser.,A girl with pigtails plays in the water.
Ein Paar mit weißen Pullovern sitzt an einem Restauranttisch.,A couple wearing white sweaters sit at a restaurant table.
In einem Restaurant steht eine Mahlzeit auf dem Tisch.,A meal is on a table in a restaurant.
Zwei Bauarbeiter sitzen auf einem Stahlbalken.,Two construction workers take a seat on a steel beam.
"Ein Kind, das strahlend einen Teig in einer Schüssel rührt.",A child happily mixing batter in a bowl.
Zwei Kinder spielen an einem sonnigen Tag mit einem Luftballon im Matsch.,Two children play with a balloon in mud on a sunny day.
Ein kleines Mädchen blickt auf eine Broschüre über Zugfahrten.,A little girl looking at a brochure on train rides
"Zwei Frauen sitzen, reden und lachen zusammen.",Two women are sitting and talking and laughing together.
"Leute, die zusammen auf einem Fußweg im Park joggen.",People jogging together on a park sidewalk.
Ein kleines Kind springt von einem Sprungturm am  hohen Brett am Schwimmbecken.,A little kid is jumping off a high dive at the pool.
Ein hell gefärbter Hund rennt am Strand.,A light-colored dog runs on the beach.
Ein Mann räkelt sich in einem hölzernen Wasserbehälter und isst Obst.,A man lounges in a wooden basin of water while eating a fruit.
Ein Mann schläft auf einer Bank in der Nähe einer Bushaltestelle.,A man is sleeping on a bench near a bus stop.
"Ein kleines Mädchen mit einem roten Oberteil und Jeans klettert auf einen kleinen Baum, während ein anderes Mädchen zusieht.",A little girl in a red shirt and jeans climbs a small tree while another little girl looks on.
Ein schlafender Mann in einem fahrenden Auto.,A man asleep in a car that's driving.
"Eine Frau in einem roten Oberteil, befindet sich unter einer Decke in einem Fahrzeug und schläft.",A woman in a red shirt is under a blanket and sleeping in a vehicle.
Ein Mann in einer Wohnungsküche wirft einen Pfannkuchen sehr hoch.,A man in a home kitchen is flipping a pancake extremely high.
Mehrere Feuerwehrleute reagieren auf einen Alarm.,Several firefighters are responding to an alarm.
Mehrere Feuerwehrleute stehen vor einem Gebäude in der Nähe ihrer Löschfahrzeuge.,Several firefighters stand outside of a building near their firetrucks.
Ein Strand mit blauen und roten Booten und Leuten am Ufer.,"A beach with blue and red boats, with people on shore"
Männer mit Schutzhelmen und Schutzwesten arbeiten.,Men wearing hard hats and safety vests are working.
Ein Zeitungsverkäufer sitzt hinter einer sehr farbenfrohen Zusammenstellung von Zeitschriften.,A magazine vendor sits behind a very colorful collage of magazines.
Ein Mann mit Schutzhelm trägt ein blaues Hemd und einen Jeanslatzhose.,A man in a hard hat is wearing a blue shirt and blue jean overalls.
"In der Bäckerei schläft der dicke alte Bäcker, während der Lehrling neben ihm sitzt und sich das Mehl aus den Augen reibt.","At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him."
Eine Gruppe Männer mit nacktem Oberkörper sitzt an einem tropischen Strand im Schatten.,A group of shirtless men are sitting in the shade on a tropical beach.
Ein junge in blauen Badehosen am Strand.,A boy in his blue swim shorts at the beach.
Ein Skifahrer blickt auf einen schneebedeckten Berg.,A skier is overlooking a snow-covered mountain.
"Ein Junge, der eine rotes Hemd trägt, fährt neben einem Erdhügel Fahrrad.",A boy wearing a red shirt is riding his bike right next to a mound of dirt.
Zweiradfahrer in einem Rennen biegen scharf nach links ab.,Bikers in a bike race take a sharp left turn.
Drei Jungen spielen und fahren Fahrrad mit einem Sandhügel in der Mitte.,Three boys playing and biking with a pile of sand in the middle
Ein älterer Mann mit einem Stock beugt sich in der Nähe eines Mannes und einer Frau vor.,Elderly man with a cane bends over near a man and woman.
Ein Arzt und Pflegekräfte in blauer Arbeitskleidung führen eine Operation durch.,A doctor and nurses in blue scrubs are performing an operation.
Ein schwarz-weißer Hund spring nach einem gelben Spielzeug.,A black and white dog jumps after a yellow toy.
Ein flauschiger Hund rennt am Strand einem Dobermann hinterher.,A woolly dog chases a Doberman on a beach.
"Ein Mann steht da, nachdem er eine Bowlingkugel auf eine Bahn geworfen hat.",A man stand there after rolling a bowling ball down a lane.
"Ein alter wettergegerbter Mann mit Bart, der ganz in Schwarz gekleidet ist, reitet auf einem schönen weißen Esel auf weißen Felsen.","An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks."
"Ein Mann und eine Frau, die auf einer blauen Couch ein Schläfchen machen.",A man and woman napping on a blue couch.
"Ein Mann, der ein gelbes Hemd trägt, wirft einen Speer auf eine Bahn.",A man wearing a yellow shirt is throwing a javelin on a track.
Eine Menschenmenge betrachtet nachts Ballons.,A crowd watching air balloons at night.
"Eine Frau, die einer andere Frau über die Schulter sieht, um eine Zeitschrift zu lesen.",A woman is reading a magazine over another woman's shoulder.
"Zwei Männer gehen in die Hocke, um in der Nacht Kerzen anzuzünden.",Two men squat to light candles at night.
Ein junger Mann geht durch eine belebte Straße neben einem Einkaufszentrum.,A young man is walking through a busy street beside a mall.
Der kleine Junge fährt Fahrrad in einem Rennen.,The little boy rides his bicycle in a race.
Eine Gruppe sitzt in einem verdunkelten Raum an einem Tisch.,A group of people sitting at a table in a darkened room.
Ein Mann mit zwei Hunden an einem Strand.,A man with two dogs on a beach
Ein von Seifenschaum bedeckter Junge bekommt das Gesicht abgewischt.,A boy covered in suds has his face wiped clean.
Dutzende von Leuten feiern auf einem Boot.,Dozens of people are partying on a boat.
"Eine junge Frau auf einem Boot in einem hellen Bikini tritt einen Mann, der einen Cowboy-Hut aus Stroh trägt.",A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat.
Ein Junge rutscht eine Rutsche mit farbigen Rohren in ein Schwimmbecken herunter.,A boy sliding down a slide into a pool with colorful tubes.
"Ein Mann in einem Taucheranzug wirft ein Krabbelkind in die Luft und ist bereit, es aufzufangen.",A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.
"Eine Gruppe fährt hinten auf einem Lkw mit, eine ländliche Straße entlang.","A group of people riding in the back of a truck, down the road, in a country area."
Zwei Köche bereiten in einer Restaurantküche Hamburger zu.,Two chefs prepare burgers in a restaurant kitchen.
Zwei Jungen schneiden Grimassen.,Two young boys making silly faces.
"Eine Person mit braunen Hosen sitzt neben einem eingezäunten Bereich, in dem Funken fliegen.",A person with brown pants is sitting around a fenced area that has sparks flying.
"Frau auf einem Hügel neben einem weißen Kreuz, die auf einen Strand blickt.",Woman on a hill by a white cross overlooking a beach.
"Vier Mädchen sitzen im Gras, und mehrere Männer stehen in ihrer Nähe.",Four girls are sitting in the grass while several men stand near them.
Arbeitende Männer schaufeln Schnee von einem Gleis.,Men at work shoveling snow from a rail track.
"Ein Mann, ein Mädchen und zwei Pferde befinden sich in der Nähe eines eingedämmten Feuers.","A man, and girl and two horses are near a contained fire."
"Arbeiter mit Warnwesten, die in der Nähe eines Zugwaggons arbeiten.",Workers wearing reflective vests working near a train car.
Ein älterer Typ blickt auf einen klassischen schlichten Volkswagen Käfer.,"An older guy looking at a classic, rustic, volkswagen beetle."
Eine Frau baut auf dem Gehweg einen weißen Metallrahmen zusammen.,A woman assembles a white metal frame on the sidewalk.
Drei Hunde starren auf einen Ball in ihrer Mitte.,There are three dogs starring at a ball in the middle of them.
Ein Mann mit nacktem Oberkörper und eine Frau sitzen auf einem Dock.,A shirtless man and a woman sitting on a dock.
Männer in Schutzwesten arbeiten auf einem Gleis.,Men in safety vests are working on a track.
"Ein Mann, der die Straße mit seiner Maschine ausbessert.",A man fixing the road with his equipment.
Eine Frau mit rötlichem Haar trägt Mascara auf ihre Wimpern auf.,A woman with reddish hair applies mascara to her eyelashes.
Ein weißer Hund hat seinen Kopf auf dem Boden.,A white dog has its head on the ground.
Eine Frau in blauen Shorts und einem weißen Hemd klettert in einer Halle.,A woman in blue shorts and a white shirt is indoor rock climbing.
Viele Motorroller sind zusammen auf dem Gehweg geparkt.,Many scooters are parked together on the sidewalk.
Der Polizeihubschrauber des örtlichen Parks bereitet sich auf die Landung vor.,The regional park police helicopter is preparing to land.
Ein Mann in einer Warnweste bringt sich auf einem Gerüst in Position.,A man in a reflective jacket positions himself on scaffolding.
Eine aus vierzehn Personen bestehende Gruppe ist in einer Halle mit Esstischen und einer Bühne versammelt.,A group of fourteen is assembled in a hall with dining tables and a stage.
Ein männlicher Teenager springt auf einer aufblasbaren Rutsche.,A teenage boy is jumping on an inflatable slide.
Eine Familie spielt an einem schönen Tag auf einem Traktor.,A family playing on a tractor on a beautiful day
Eine ältere Frau brät in einer Küche etwas in der Pfanne an.,An elderly woman pan frying food in a kitchen.
Eine extravagante jungen Frau in einem roten Bikini und einem roten Feder-Kopfschmuck kommt auf zwei junge Leute zu.,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.
Zwei Skifahrer machen sich auf den Weg durch Waldland.,Two skiers are making their way through woodland.
Skifahrer oben auf einem schneebedeckten Hügel.,Skiiers at the top of a snow covered hill.
"Ein brauner Hund, der neben Gras rennt.",A brown dog running next to grass.
"Eine Frau in grünem Oberteil und Jeans kniet auf einer offenen Veranda mit einem Kaffee in der Hand, neben ihr ihre Handtasche und hinter ihr eine große Tür, während sie Formulare ausfüllt.","A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork."
An einer Kreuzung überqueren mehrere Personen die Straße.,People are crossing a city street intersection.
"Eine Frau, die lilafarben gekleidet ist und ein Mieder trägt, faltet die Hände in ihrem Schoß.",A woman dressed in light purple and wearing a corsage clasps her hands in her lap.
Eine Mutter und Kinder fischen nachts an einer hölzernen Strandpromenade.,A mother and children is fishing on a boardwalk at night.
Sechs männliche Personen spielen ein Spiel im Sand mit hölzernen Paddeln.,Six males playing a game in the sand with wooden paddles.
Eine Frau in einem grünen Pullunder ist von drei Kindern umgeben und lacht.,"A woman in a green tank top is surrounded by three children, laughing."
"Ein Mann in einem schwarzen Hemd und schwarzen Hosen, der auf dem Motor eines alten, grünen, antiken Autos arbeitet, während ein gelber Benzinkanister im Gras steht.","A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass."
"Eine Frau in einer blauen Jacke, die in Wassernähe ein braunes Pony reitet.",A woman in a blue jacket rides a brown pony near water.
Zwei Pferde ziehen einen von einer Frau gelenkten Wagen über einen schneebedeckten Untergrund.,Two horses pull a carriage driven by a woman over snow covered ground.
Eine Person klettert eine steile Felswand herunter und verwendet dazu ein Seil.,A person climbing down a sheer rock cliff using a rope
Die Wandergruppe macht vor einem Berg Rast.,The group of hikers is resting in front of a mountain.
Eine Frau steht vor einem Kalkstein und malt.,A woman standing in front of a chalk drawing
"Drei junge Erwachsenen sitzen herum, wobei eine junge Frau so tut, als ob sie einem der jungen Männer ins Gesicht tritt und dabei lacht, und der junge Mann hinter sieht aus, als ob er gerade mitten im Satz ist.","Three young adults are sitting around, with the girl pretending to kick one of the guys in the face while laughing, and the guy behind him looks like he's in midsentence."
